note_path,model_used,model_size,clinical_accuracy,completeness,conciseness,clarity,hallucination
notes/data/consults/elbow_fractures/20250328_221207_gemma3_4b.txt,gemma3,4b,4.0,3.0,5.0,2.0,No
notes/data/consults/elbow_fractures/20250328_221231_qwen2.5_3b.txt,qwen2.5,3b,4.0,5.0,3.0,2.0,No
notes/data/consults/achilles_tendon_ruptures/20250328_222253_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/achilles_tendon_ruptures/20250328_222320_gemma3_4b.txt,gemma3,4b,4.0,4.0,3.0,2.0,No
notes/data/consults/achilles_tendon_ruptures/20250328_222320_qwen2.5_3b.txt,qwen2.5,3b,4.0,4.0,3.0,2.0,No
notes/data/consults/achilles_tendon_ruptures/20250328_222253_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/achilles_tendon_ruptures/20250328_222253_qwen2.5_3b.txt,qwen2.5,3b,4.0,5.0,3.0,3.0,No
notes/data/consults/achilles_tendon_ruptures/20250328_222320_llama3.2_3b.txt,llama3.2,3b,4.0,5.0,3.0,3.0,No
notes/data/consults/achilles_tendon_ruptures/20250328_222320_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/achilles_tendon_ruptures/20250328_222253_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/hip_fractures/20250328_220613_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/hip_fractures/20250328_220637_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/hip_fractures/20250328_220613_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,2.0,No
notes/data/consults/hip_fractures/20250328_220637_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/hip_fractures/20250328_220613_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/hip_fractures/20250328_220613_qwen2.5_3b.txt,qwen2.5,3b,5.0,5.0,3.0,4.0,No
notes/data/consults/hip_fractures/20250328_220637_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,2.0,No
notes/data/consults/hip_fractures/20250328_220637_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/septic_arthritis/20250328_222406_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,2.0,No
notes/data/consults/septic_arthritis/20250328_222406_llama3.2_3b.txt,llama3.2,3b,4.0,5.0,3.0,3.0,No
notes/data/consults/septic_arthritis/20250328_222346_llama3.2_3b.txt,llama3.2,3b,4.0,3.0,3.0,2.0,No
notes/data/consults/septic_arthritis/20250328_222346_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,2.0,No
notes/data/consults/septic_arthritis/20250328_222406_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/septic_arthritis/20250328_222346_gemma3_4b.txt,gemma3,4b,4.0,4.0,3.0,2.0,No
notes/data/consults/septic_arthritis/20250328_222406_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/septic_arthritis/20250328_222346_qwen2.5_3b.txt,qwen2.5,3b,4.0,5.0,3.0,2.0,No
notes/data/consults/acetabular_fractures/20250328_221411_gemma3_4b.txt,gemma3,4b,4.0,3.0,3.0,2.0,No
notes/data/consults/acetabular_fractures/20250328_221347_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/acetabular_fractures/20250328_221411_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/acetabular_fractures/20250328_221411_llama3.2_3b.txt,llama3.2,3b,4.0,5.0,3.0,2.0,No
notes/data/consults/acetabular_fractures/20250328_221347_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/acetabular_fractures/20250328_221411_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,3.0,No
notes/data/consults/acetabular_fractures/20250328_221347_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/acetabular_fractures/20250328_221347_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/bicep_tendon_ruptures/20250328_222234_gemma3_4b.txt,gemma3,4b,4.0,3.0,3.0,2.0,No
notes/data/consults/bicep_tendon_ruptures/20250328_222213_qwen2.5_3b.txt,qwen2.5,3b,4.0,5.0,3.0,2.0,No
notes/data/consults/bicep_tendon_ruptures/20250328_222234_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/bicep_tendon_ruptures/20250328_222213_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/bicep_tendon_ruptures/20250328_222234_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,3.0,No
notes/data/consults/bicep_tendon_ruptures/20250328_222213_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/bicep_tendon_ruptures/20250328_222213_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,4.0,3.0,No
notes/data/consults/bicep_tendon_ruptures/20250328_222234_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/shoulder_dislocations/20250328_222040_qwen2.5_3b.txt,qwen2.5,3b,4.0,5.0,3.0,2.0,No
notes/data/consults/shoulder_dislocations/20250328_222021_gemma3_4b.txt,gemma3,4b,4.0,5.0,3.0,2.0,No
notes/data/consults/shoulder_dislocations/20250328_222021_qwen2.5_3b.txt,qwen2.5,3b,4.0,5.0,3.0,2.0,No
notes/data/consults/shoulder_dislocations/20250328_222040_llama3.2_3b.txt,llama3.2,3b,4.0,4.0,3.0,2.0,No
notes/data/consults/shoulder_dislocations/20250328_222040_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/shoulder_dislocations/20250328_222021_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/shoulder_dislocations/20250328_222021_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,3.0,No
notes/data/consults/shoulder_dislocations/20250328_222040_gemma3_4b.txt,gemma3,4b,4.0,3.0,5.0,2.0,No
notes/data/consults/lisfranc_injuries/20250328_221001_llama3.2_3b.txt,llama3.2,3b,4.0,5.0,3.0,2.0,No
notes/data/consults/lisfranc_injuries/20250328_220935_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/lisfranc_injuries/20250328_220935_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,3.0,No
notes/data/consults/lisfranc_injuries/20250328_220935_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,3.0,4.0,3.0,2.0,No
notes/data/consults/lisfranc_injuries/20250328_221001_gemma3_4b.txt,gemma3,4b,4.0,5.0,3.0,2.0,No
notes/data/consults/lisfranc_injuries/20250328_221001_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/lisfranc_injuries/20250328_221001_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,2.0,No
notes/data/consults/lisfranc_injuries/20250328_220935_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/calcaneus_fractures/20250328_221049_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/calcaneus_fractures/20250328_221021_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/calcaneus_fractures/20250328_221049_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,2.0,No
notes/data/consults/calcaneus_fractures/20250328_221049_gemma3_4b.txt,gemma3,4b,4.0,5.0,3.0,3.0,No
notes/data/consults/calcaneus_fractures/20250328_221049_qwen2.5_3b.txt,qwen2.5,3b,4.0,5.0,3.0,3.0,No
notes/data/consults/calcaneus_fractures/20250328_221021_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/calcaneus_fractures/20250328_221021_gemma3_4b.txt,gemma3,4b,5.0,4.0,4.0,2.0,No
notes/data/consults/calcaneus_fractures/20250328_221021_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/tibial_plateau_fractures/20250328_221549_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/tibial_plateau_fractures/20250328_221549_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/tibial_plateau_fractures/20250328_221529_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/tibial_plateau_fractures/20250328_221549_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/tibial_plateau_fractures/20250328_221529_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,3.0,No
notes/data/consults/tibial_plateau_fractures/20250328_221529_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/tibial_plateau_fractures/20250328_221529_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/tibial_plateau_fractures/20250328_221549_gemma3_4b.txt,gemma3,4b,4.0,3.0,3.0,2.0,No
notes/data/consults/tibial_shaft_fractures/20250328_220759_gemma3_4b.txt,gemma3,4b,4.0,4.0,3.0,2.0,No
notes/data/consults/tibial_shaft_fractures/20250328_220824_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/tibial_shaft_fractures/20250328_220759_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,3.0,No
notes/data/consults/tibial_shaft_fractures/20250328_220824_llama3.2_3b.txt,llama3.2,3b,4.0,5.0,3.0,2.0,No
notes/data/consults/tibial_shaft_fractures/20250328_220824_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/tibial_shaft_fractures/20250328_220824_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/tibial_shaft_fractures/20250328_220759_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/tibial_shaft_fractures/20250328_220759_qwen2.5_3b.txt,qwen2.5,3b,4.0,5.0,3.0,3.0,No
notes/data/consults/clavicle_fractures/20250328_221842_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,2.0,No
notes/data/consults/clavicle_fractures/20250328_221909_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/clavicle_fractures/20250328_221909_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/clavicle_fractures/20250328_221842_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/clavicle_fractures/20250328_221909_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,3.0,No
notes/data/consults/clavicle_fractures/20250328_221909_llama3.2_3b.txt,llama3.2,3b,5.0,5.0,3.0,4.0,No
notes/data/consults/clavicle_fractures/20250328_221842_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/clavicle_fractures/20250328_221842_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/pelvic_ring_fractures/20250328_221506_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,3.0,No
notes/data/consults/pelvic_ring_fractures/20250328_221506_llama3.2_3b.txt,llama3.2,3b,4.0,5.0,3.0,2.0,No
notes/data/consults/pelvic_ring_fractures/20250328_221437_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/pelvic_ring_fractures/20250328_221506_gemma3_4b.txt,gemma3,4b,4.0,4.0,3.0,3.0,No
notes/data/consults/pelvic_ring_fractures/20250328_221437_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/pelvic_ring_fractures/20250328_221437_llama3.2_3b.txt,llama3.2,3b,4.0,5.0,3.0,3.0,No
notes/data/consults/pelvic_ring_fractures/20250328_221506_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,3.0,No
notes/data/consults/pelvic_ring_fractures/20250328_221437_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/patellar_fractures/20250328_221118_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/patellar_fractures/20250328_221144_gemma3_4b.txt,gemma3,4b,4.0,4.0,3.0,2.0,No
notes/data/consults/patellar_fractures/20250328_221144_qwen2.5_3b.txt,qwen2.5,3b,4.0,5.0,3.0,3.0,No
notes/data/consults/patellar_fractures/20250328_221118_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/patellar_fractures/20250328_221118_qwen2.5_3b.txt,qwen2.5,3b,4.0,5.0,3.0,2.0,No
notes/data/consults/patellar_fractures/20250328_221144_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,4.0,3.0,2.0,No
notes/data/consults/patellar_fractures/20250328_221144_llama3.2_3b.txt,llama3.2,3b,4.0,5.0,3.0,2.0,No
notes/data/consults/patellar_fractures/20250328_221118_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,3.0,No
notes/data/consults/femoral_shaft_fractures/20250328_221631_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/femoral_shaft_fractures/20250328_221612_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/femoral_shaft_fractures/20250328_221612_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/femoral_shaft_fractures/20250328_221631_gemma3_4b.txt,gemma3,4b,4.0,3.0,4.0,3.0,No
notes/data/consults/femoral_shaft_fractures/20250328_221631_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/femoral_shaft_fractures/20250328_221631_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/femoral_shaft_fractures/20250328_221612_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/femoral_shaft_fractures/20250328_221612_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,4.0,No
notes/data/consults/proximal_humerus_fractures/20250328_220705_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/proximal_humerus_fractures/20250328_220705_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/proximal_humerus_fractures/20250328_220733_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/proximal_humerus_fractures/20250328_220733_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/proximal_humerus_fractures/20250328_220705_qwen2.5_3b.txt,qwen2.5,3b,4.0,5.0,3.0,4.0,No
notes/data/consults/proximal_humerus_fractures/20250328_220733_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,3.0,No
notes/data/consults/proximal_humerus_fractures/20250328_220705_gemma3_4b.txt,gemma3,4b,4.0,3.0,3.0,2.0,No
notes/data/consults/proximal_humerus_fractures/20250328_220733_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/quadricep_tendon_ruptures/20250328_222108_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/quadricep_tendon_ruptures/20250328_222145_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/quadricep_tendon_ruptures/20250328_222108_llama3.2_3b.txt,llama3.2,3b,4.0,5.0,3.0,3.0,No
notes/data/consults/quadricep_tendon_ruptures/20250328_222108_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/quadricep_tendon_ruptures/20250328_222145_llama3.2_3b.txt,llama3.2,3b,4.0,,,,
notes/data/consults/quadricep_tendon_ruptures/20250328_222108_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/quadricep_tendon_ruptures/20250328_222145_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,2.0,No
notes/data/followups/pilon_fractures/20250328_221707_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/followups/pilon_fractures/20250328_221707_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,3.0,No
notes/data/followups/pilon_fractures/20250328_221707_llama3.2_3b.txt,llama3.2,3b,4.0,5.0,3.0,2.0,No
notes/data/followups/pilon_fractures/20250328_221707_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/followups/pilon_fractures/20250328_221739_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/followups/pilon_fractures/20250328_221739_qwen2.5_3b.txt,qwen2.5,3b,4.0,5.0,3.0,3.0,No
notes/data/followups/pilon_fractures/20250328_221739_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,3.0,No
notes/data/followups/pilon_fractures/20250328_221739_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/followups/ankle_fractures/20250328_220525_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/followups/ankle_fractures/20250328_220553_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/followups/ankle_fractures/20250328_220553_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,3.0,No
notes/data/followups/ankle_fractures/20250328_220525_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/followups/ankle_fractures/20250328_220525_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/followups/ankle_fractures/20250328_220553_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,4.0,3.0,2.0,No
notes/data/followups/ankle_fractures/20250328_220553_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,3.0,No
notes/data/followups/ankle_fractures/20250328_220525_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/followups/scapular_fractures/20250328_221803_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,3.0,No
notes/data/followups/scapular_fractures/20250328_221803_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,4.0,3.0,4.0,No
notes/data/followups/scapular_fractures/20250328_221828_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,3.0,No
notes/data/followups/scapular_fractures/20250328_221803_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/followups/scapular_fractures/20250328_221828_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,2.0,No
notes/data/followups/scapular_fractures/20250328_221803_qwen2.5_3b.txt,qwen2.5,3b,4.0,5.0,3.0,3.0,No
notes/data/followups/scapular_fractures/20250328_221828_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/followups/scapular_fractures/20250328_221828_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/followups/scaphoid_fractures/20250328_221308_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/followups/scaphoid_fractures/20250328_221308_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,3.0,No
notes/data/followups/scaphoid_fractures/20250328_221308_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
